domain	advertisement
mouseflow.com	mouseflow
cbsig.net	cbsi
indeed.com	comscore
classpass.com	mixpanel
classpass.com	friendbuy
abcnews.go.com	outbrain
keen.com	mixpanel
keen.com	truste
bitbucket.org	clicktale
bitbucket.org	amazonaws
bitbucket.org	demandbase
kindercare.com	clickable
qualtrics.com	qualtrics
lemagit.fr	celtra
homechef.com	nola
homechef.com	inspectlet
hm.com	clicktale
efficientlearning.com	crazyegg
charitywater.org	mixpanel
charitywater.org	amazonaws
charitywater.org	crazyegg
charitywater.org	cloudfront
unicef.cn	xiti
sage.com	lexity
sage.com	eloqua
proschools.com	truste
shopkeep.com	adform
simyo.nl	usabilla
loggly.com	loggly
atkins.com	paypalobjects
placester.com	placester
shutterstock.com	254a
laserspineinstitute.com	addthis
optimizely.com	smartertravel
optimizely.com	marketo
optimizely.com	fairfax
optimizely.com	comscore
optimizely.com	demandbase
trakken.de	google-analytics
azuqua.com	hubspot
theage.com.au	truste
theage.com.au	fairfax
theage.com.au	amazonaws
magento.com	marketo
magento.com	crazyegg
gwynniebee.com	criteo
discoverorg.com	crazyegg
quickbooks.intuit.com	clicktale
cars.com	clickable
cars.com	adform
university-liverpool-online.com	clicktale
commonbond.co	g-auth
smartcoverletter.com	mixpanel
usabilla.com	usabilla
riseinteractive.com	pardot
riseinteractive.com	crateandbarrel
segment.com	google-analytics
join.me	clicktale
blueapron.com	outbrain
similar-web.jp	clicktale
tinfoilsecurity.com	254a
vsp.com	googletagmanager
vsp.com	webtrends
vsp.com	googleadservices
vsp.com	doubleclick
vsp.com	tvsquared
vsp.com	en25
vsp.com	addevent
vsp.com	eloqua
azimo.com	zedo
cdw.com	eloqua
cdw.com	adform
pge.com	fairfax
pge.com	adriver
alienvault.com	marketo
theserverside.com	celtra
openuniversity.edu	crazyegg
kpn.com	fout
kpn.com	adform
newrelic.com	newrelic
newrelic.com	olark
statuspage.io	clicktale
statuspage.io	amazonaws
statuspage.io	demandbase
rocketlawyer.com	fairfax
rocketlawyer.com	burt
upstart.com	tctm
upstart.com	godaddy
bitpipe.com	celtra
ironmountain.com	clickable
ironmountain.com	demandbase
nytimes.com	fout
nytimes.com	truste
nytimes.com	bluekai
sixt.fr	bluekai
freedomdebtrelief.com	outbrain
freedomdebtrelief.com	adition
freedomdebtrelief.com	amazonaws
wikihow.com	heatmap
carglass.be	254a
carglass.be	clicktale
carglass.be	hotjar
tradesy.com	mixpanel
myperfectresume.com	inspectlet
kissmetrics.com	kissmetrics
meowbify.com	outbrain
meowbify.com	gigya
meowbify.com	chartbeat
atlassian.com	clicktale
atlassian.com	amazonaws
atlassian.com	demandbase
safelite.com	clicktale
worldmarket.com	adition
alteryx.com	demandbase
sundancecatalog.com	clicktale
smh.com.au	truste
smh.com.au	fairfax
smh.com.au	amazonaws
eatfeastly.com	mixpanel
eatfeastly.com	cloudfront
digikey.com	clicktale
mckinsey.com	hotjar
tollbrothers.com	addthis
smartresumewizard.com	mixpanel
waldenu.edu	clicktale
ingenio.com	mixpanel
ingenio.com	truste
dmv.org	adform
appdynamics.com	amazonaws
appdynamics.com	appdynamics
appdynamics.com	demandbase
telegraph.co.uk	outbrain
myperfectcoverletter.com	inspectlet
legacy.com	pennlive
legacy.com	syracuse
legacy.com	masslive
legacy.com	nola
legacy.com	clickable
allstate.ca	clicktale
people.com	timeinc
ama-assn.org	sessioncam
teespring.com	amazonaws
teespring.com	clickable
teespring.com	cloudfront
zdnet.com	disqus
mycase.com	mixpanel
curlformers.com	glam
e-agency.co.jp	ptengine
avvo.com	yandex
cnn.com	outbrain
cnn.com	gigya
cnn.com	chartbeat
lithium.com	demandbase
mylifetime.com	glam
tawkify.com	adition
adamsgolf.com	crazyegg
generalassemb.ly	amazonaws
generalassemb.ly	adform
vapeworld.com	254a
vapeworld.com	adroll
vapeworld.com	crazyegg
willhaben.at	adition
smartthings.com	amazonaws
taylormadegolf.com	crazyegg
mixbook.com	extole
mixbook.com	photobucket
decibelinsight.com	decibelinsight
tunecore.com	friendbuy
onemedical.com	amazonaws
go.com	outbrain
textbooks.com	bm23
gadzoo.com	pennlive
gadzoo.com	syracuse
gadzoo.com	masslive
gadzoo.com	nola
gadzoo.com	clickable
formswift.com	mixpanel
hipchat.com	clicktale
hipchat.com	amazonaws
hipchat.com	demandbase
telfort.nl	sessioncam
zopim.com	zopim
infusionsoft.com	infusionsoft
computerweekly.com	celtra
swooneditions.com	mbsy
uber.com	zopim
sourcetreeapp.com	clicktale
sourcetreeapp.com	amazonaws
sourcetreeapp.com	demandbase
cvent.com	akamai
mcafeestore.com	sessioncam
resume-now.com	inspectlet
lieferando.de	alexa
