State	Rank	Average Score
Massachusetts	1	83.66
Colorado	2	80.40
Maryland	3	80.30
California	4	75.94
Washington	5	71.83
Connecticut	6	71.04
Minnesota	7	69.57
Utah	8	69.14
Virginia	9	65.87
Delaware	10	65.38
New Hampshire	11	65.31
North Carolina	12	62.64
Oregon	13	62.32
Pennsylvania	14	61.54
Rhode Island	15	59.83
Illinois	16	59.50
New Jersey	17	59.39
Michigan	18	58.75
Texas	19	58.65
New York	20	57.54
New Mexico	21	55.18
Wisconsin	22	55.06
Arizona	23	54.87
Georgia	24	53.53
Nebraska	25	53.52
Vermont	26	52.58
Ohio	27	52.31
Missouri	28	50.60
North Dakota	29	49.72
Indiana	30	49.23
Kansas	31	48.43
Idaho	32	46.30
Alaska	33	44.86
Montana	34	43.73
Iowa	35	43.51
Wyoming	36	43.01
Alabama	37	42.67
South Dakota	38	41.55
Hawaii	39	40.34
Tennessee	40	40.21
Florida	41	38.81
Maine	42	38.39
South Carolina	43	35.84
Oklahoma	44	34.62
Nevada	45	32.75
Louisiana	46	31.40
Kentucky	47	30.53
Mississippi	48	29.84
Arkansas	49	27.95
West Virginia	50	25.83
